40000 B.C.  	Cro-Magnon man (homo sapiens) is active in Europe and the Middle East.
1897      	French dramatist Edmond Rostand writes Cyrano de Bergerac.
1897      	French primitive artist Henri Rousseau paints The Sleeping Gypsy.
1897      	McKinley is inaugurated as the 25th U.S. president; Hobart becomes vice-president.
1897      	Russian author Anton Chekhov writes the play Uncle Vanya.
1897      	Stanislavsky founds the Moscow Art Theater and begins the method acting technique.
1897      	The first subway un the U.S. opens in Boston.
1897      	Theodor Herzl organizes the World Zionist Congress at Basel in Switzerland.
1898      	Anglo-Irish playwright George Bernard Shaw publishes Arms and the Man.
1898      	Britain obtains a 99-year lease for Hong Kong from the Chinese.
1898      	Commodore Dewey destroys the Spanish fleet in Manila harbor.
1898      	English author H. G. Wells publishes The War of the Worlds.
1898      	Spain cedes Puerto Rico, Guam and the Philippines to the U.S. in the Treaty of Paris.
1898      	The Boxer Uprising begins in China; Empress Tz'u-hsi imprisons the emperor.
1898      	The British under Kitchener defeat the Mahdists at Omdurman in Sudan.
1898      	The Fashoda Incident leads to a French withdrawal from the Sudan.
1898      	The Spanish fleet is destroyed off Cuba; Spain sues for peace.
1898      	The Spanish-American War begins with a declaration of war by Congress.
1898      	The U.S. army uses machine guns for the first time in the battle of Santiago.
1898      	The U.S. battleship Maine explodes in the Spanish port of Manila in the Philippines.
1898      	U.S. troops land on Cuba; Theodore Roosevelt's Rough Riders are in action.
1898      	William Randolph Hearst's yellow journalism inflames anti-Spanish feelings.
1899      	American artist Winslow Homer paints the Gulf Stream.
1899      	American composer Scott Joplin publishes his Maple Leaf Rag.
1899      	Designer Charles Rennie Mackintosh completes the Glasgow School of Art.
1899      	English composer Edward Elgar writes The Enigma Variations.
1899      	Journalist and future statesman Winston Churchill escapes from Boer captivity.
1899      	The British under Robert Baden-Powell are besieged by the Boers at Mafeking.
1899      	The South African War begins between the Boers (Afrikaners) and the British.
1899      	U.S. Secretary of State John M. Hay advocates an Open Door Policy for China.
1900      	American novelist Theodore Dreiser publishes his first novel Sister Carrie.
1900      	An international force lifts the Boxer siege of Peking.
1900      	British politician Keir Hardie helps to found the Labour party.
1900      	Chinese nationalists besiege foreigners in Peking during the Boxer Uprising.
1900      	Dutch physiologist Willem Einthoven invents the electrocardiograph.
1900      	Hawaii is made a U.S. Territory; Sanford Dole serves as the first governor.
1900      	Hector Guimard uses Art Nouveau designs for the entrances to the Paris Metro.
1900      	Humbert I is assassinated; he is succeeded by Victor Emanuel III as king of Italy.
1900      	Italian author Gabriele D'Annunzio publishes The Flame of Life.
1900      	James J. Jeffries beats Jim Corbett to retain the heavyweight boxing title.
1900      	Max Planck formulates the quantum theory in physics.
1900      	Psychoanalyst Sigmund Freud publishes The Interpretation of Dreams.
1900      	Sir Arthur Evans begins the excavation of the Minoan palace at Knossos, Crete.
1900      	The Boers begin a guerrilla war against the British occupation forces.
1900      	The British defeat the Boer (Afrikaner) armies in South Africa and occupy Pretoria.
1900      	The U.S. wins the first Davis Cup tennis contest.
1901      	A 39,000 year-old frozen mammoth is discovered in Russia.
1901      	A stele bearing the Code of Hammurabi is discovered in Susa, Iran.
1901      	American surgeon Walter Reed proves that yellow fever is transmitted by mosquitoes.
1901      	An American League of baseball is formed in competition to the National League.
1901      	Andrew Carnegie sells his company and devotes himself to philanthropy.
1901      	Britain incorporates Ashanti territory into the Gold Coast (Ghana).
1901      	English author Beatrix Potter publishes her children's book The Tale of Peter Rabbit.
1901      	Guglielmo Marconi tests radio transmissions between England and Newfoundland.
1901      	King C. Gillette founds the American Safety Razor Company.
1901      	President McKinley is assassinated by the anarchist Leon Czolgosz.
1901      	Queen Victoria dies; she is succeeded by her son Edward VII.
1901      	Russia occupies Manchuria in north-east China.
1901      	Sergei Rachmaninoff writes his Second Piano Concerto.
1901      	Sir Edward Elgar composes the first of his five Pomp and Circumstance Marches.
1901      	Spanish painter Pablo Picasso's Blue Period begins.
1901      	Temperance advocate Carry Nation uses a hatchet to attack a Kansas saloon.
1901      	The Commonwealth of Australia is founded.
1901      	The first U.S. national bowling tournament is held.
1901      	Theodore Roosevelt is inaugurated as the 26th U.S. president.
1901      	Victor L. Berger and Eugene V. Debs help found the American Socialist party.
1902      	American artist Robert Henri paints the New York street scene West 57th Street.
1902      	Conan Doyle writes the Sherlock Holmes adventure The Hound of the Baskervilles.
1902      	English author Joseph Conrad publishes Heart of Darkness.
1902      	French filmmaker Georges Melies produces A Trip to the Moon.
1902      	Italian opera singer Enrico Caruso makes his first phonographic recording.
1902      	Maksim Gorky's The Lower Depths is produced at the Moscow Art Theater.
1902      	Oliver Wendell Holmes Jr. is appointed to the U.S. Supreme Court.
1902      	The Photo-Secession group is founded in New York by photographer Alfred Stieglitz.
1902      	The Treaty of Vereeniging ends the South African War.
1903      	Alexander, King of Serbia, is assassinated; he is succeeded by Peter I.
1903      	American author Jack London publishes The Call of the Wild.
1903      	American novelist Henry James publishes The Ambassadors.
1903      	Bernard Shaw's play Man and Superman is produced in London.
1903      	Colonel Francis Younghusband leads a British military expedition into Tibet.
1903      	Edwin S. Porter directs the pioneering Western film The Great Train Robbery.
1903      	Emmeline Pankhurst founds the Women's Social and Political Union in Britain.
1903      	Marie and Pierre Curie win the Nobel Prize for Physics for their work on radioactivity.
1903      	Orville Wright makes the first successful flight in a self-propelled airplane.
1903      	Panama declares its independence from Columbia; the U.S. recognizes the new republic.
1903      	The Rolls-Royce automobile company is founded in Britain.
1903      	The U.S. acquires perpetual control over the Panama Canal Zone.
1903      	The first World Series baseball game is played.
1903      	Vladimir Ilich Lenin organizes the Bolshevik revolutionary group.
1904      	Italian composer Giacomo Puccini's opera Madame Butterfly is produced.
1904      	Ivan Pavlov, discoverer of the conditioned reflex, is awarded the Nobel Prize.
1904      	James Barrie's play Peter Pan is produced in London.
1904      	Max Weber publishes The Protestant Ethic and the Spirit of Capitalism.
1904      	Russian author Anton Chekhov's play The Cherry Orchard is produced.
1904      	Territorial disputes in Manchuria begin the Russo-Japanese War.
1904      	The Abbey Theatre is founded in Dublin.
1904      	The New York City subway is opened.
1905      	A general strike and revolution begin in Russia; Nicholas II grants a constitution.
1905      	Ambrose Fleming invents the thermionic valve, used to improve radio reception.
1905      	American humorist and actor Will Rogers makes his New York City debut.
1905      	American labor leader Eugene V. Debs founds the Industrial Workers of the World.
1905      	Chinese revolutionary Sun Yat-sen founds the T'ung-meng hui (Alliance Society).
1905      	Ernst Ludwig Kirchner organizes the expressionist painters group Die Brucke.
1905      	French territorial ambitions spark the first Moroccan crisis.
1905      	German physicist Albert Einstein proposes his Special Theory of Relativity.
1905      	German poet Rainer Maria Rilke publishes The Book of Hours.
1905      	Henri Matisse and Andre Derain form the Fauves (Wild Beasts) art movement.
1905      	Psychologist Alfred Binet develops intelligence tests for school children.
1905      	Roosevelt begins his second term as U.S. president; Fairbanks becomes vice-president.
1905      	The Cullinan diamond is found in South Africa; it weighs 3,106 carats.
1905      	The Russian fleet is destroyed by the Japanese at the Battle of Tsushima.
1905      	The Sinn Fein Irish nationalist movement is founded by Arthur Griffith.
1905      	The union of Norway and Sweden is dissolved; Haakon VII is elected king of Norway.
1905      	W.E.B. Du Bois forms the Niagara Movement to demand full civil rights for black Americans.
1906      	British author John Galsworthy publishes the first novel of The Forsythe Saga.
1906      	H.M.S. Dreadnought, the first modern battleship, is launched.
1906      	Norwegian explorer Roald Amundsen traverses the Northwest Passage.
1906      	The Aga Khan III forms the All-India Moslim League.
1906      	The Dreyfus affair ends with the pardoning of French army officer Alfred Dreyfus.
1906      	The San Francisco earthquake kills 700.
1906      	Under the Platt Amendment U.S. troops return to Cuba to quell rebellion and restore order.
1906      	Upton Sinclair's novel The Jungle leads to the U.S. Pure Foods and Drugs Act.
